Keyword,Notes,
migrants,,
revenu de base,"On constate un pic de cette requête à l'ouverture d'un site sur le sujet (fin octobre 2017, hors période). Assez erratique sinon.",
revenu universel,,
emploi fictif,"Ne concerne pas Fillon. Pointe aussi sur Bayrou et, de manière plus surprenante, sur Mélenchon.",
penelope,,
vote blanc,,
abstention,,
immigration,,
chômeurs,Gros pic de trafic mais peu de requêtes liées.,
chomeurs,"Pour cette série de requêtes, l'accentuation et le nombre sont importants et donnent des résultats différents.",
chômeur,,
chomeur,,
cabinet noir,,
canard enchaine,,
mediapart,,
ordonnance,Questions techniques. Polysémique.,
filteris,,
travailleurs détachés,Pas de requêtes attachées (sans mauvais jeu de mots).,
retraites,"Le pluriel est très important ici. Au singulier, questions technique sur sa propre retraite et sur les démarches administratives. Au pluriel, cela devient un problème politique.",
procuration,Question technique.,
comment voter,,
pour qui voter,,
boussole,"Le CEVIPOF, ainsi que plusieurs sites de presse, proposent des ""boussoles"" politiques afin de pouvoir se situer sur le spectre des partis et savoir pour qui voter.",
brigitte,,
macron enfants,,
pourquoi ne pas voter fn,,
voter fn,,
fn,,
macron gay,,
macron gallet,Cette requête est directement liée à celle d'avant.,
sputnik,"Souvent, les gens cherchent des sites sur google plutôt que d'en taper l'URL exacte dans leur navigateur. Cela vaut aussi pour de nombreux môts-clés suivants.",
fdesouche,,
valeurs actuelles,,
russia today,,
rt,"Abréviation de ""russia today""",
programme macron,,
programme pdf,,
resultats,"Les requêtes liées concernent des organes de presse belges, notamment, car ceux-ci avaient légalement le droit de publier des estimations sur les résultats avant 20h.",
radio londres,"Idem, ce canal proposait des estimations avant 20h.",
hologramme,Lié à Mélenchon.,
signatures,,
osons causer,"Un peu de trafic mais peu de liens vers d'autres requêtes. Les gens cherchant ""osons causer"" savent très bien ce qu'il cherchent.",
bfm,,
bfmtv,,
sens commun,,
manif pour tous,,
insoumis,"On note qu'avant et pendant les élections, ce mot-clé se décline en une myriade de recherches concernant les outils des militants de Mélenchon: discord insoumis, plateforme insoumis, consultation insoumis. Plus après, ce mot-clé se mue en ""france insoumise"".",
france insoumise,,
débat,"Variantes possibles dans le genre de ""gagné le débat"" etc.",
onpc,"On n'est pas couchés, l'émission de Ruquier.",
atlantico,,
trocadero,Interrogations factuelles sur le rassemblement en soutien à Fillon au Trocadéro après l'éclatement de l'affaire.,
femen,,
en marche,Ne devient recherché massivement qu'après l'élection présidentielle. Ce qui semble indiquer que les gens ne se renseignent sur le parti qu'après la victoire d'Emmanuel Macron.,
gifle,Presque exclusivement lié à Manuel Valls.,
primaire de droite,,
primaire de la gauche,,
declaration patrimoine,,
candidats,La requête énumère les candidats de manière assez peu surprenante.,
sondage,Questions techniques sur les sondages ou pour en retrouver de précis.,
estimation,Pics notables sur les deux tours de l'élection présidentielle.,
hamon mis en examen,Rumeur lancée à droite pour contrebalancer l'affaire Fillon.,
meeting,Questions pratiques.,
carte electorale,Question technique.,
liste electorale,Question technique.,
franc maçon,,
franc macon,"Cette variante ortographique incorrecte de ""franc-maçon"" a un pic inexplicable le 8 mai.",
macron leaks,"cf. ""4chan""",
fake news,Informations sur l'expression elle-même plus que sur les fake news de l'election.,
bahamas,Rumeur ciblant Macron.,
discours,Un peu trop générique pour être véritablement utile.,
taxe habitation,Lié au programme de Macron.,todo
replay debat,Cherché par les gens souhaitant regarder le débat a posteriori.,todo
gagne debat,,todo
