id_fake_news,information,veracite,explication_resume,explication_details_lien
1,"Ce prêtre a-t-il été agressé à Avignon en février 2017, sans que les médias n'en parlent ?",FAUX,"La rumeur fait référence à une vraie agression, mais qui date de mai 2013. Les faits ont alors été largement évoqués par de nombreux médias régionaux et nationaux.",http://www.lemonde.fr/les-decodeurs/article/2017/02/27/des-militants-denoncent-l-omerta-des-medias-sur-l-agression-d-un-pretre-a-avignon-qui-date-de-2013_5086287_4355770.html
2,Emmanuel Macron a-t-il déclaré vouloir faire payer un loyer aux propriétaires ?,FAUX,"Il s'agit d'un article du site parodique BuzzBeed. En réalité, la mesure ne figure pas au programme du candidat. ",https://crosscheck.firstdraftnews.com/checked-french/macron-a-t-il-declare-vouloir-faire-payer-un-loyer-aux-proprietaires
3,Ce pompier a-t-il eu « l’œil crevé par une racaille » ?,FAUX,"Cette rumeur qui a circulé en février 2017 est une présentation erronée de faits datant de fin 2013. En réalité, le pompier dont il est question ici a été blessé par un tir de policier lors d'une manifestation.",http://www.lemonde.fr/les-decodeurs/article/2017/02/28/l-intox-du-pompier-a-l-il-creve-par-la-racaille_5086948_4355770.html
4,Un élu PS a-t-il été relaxé après un excès de vitesse en 2017 dans le cadre d'un traîtement de faveur ?,FAUX,"Contrairement à ce que laisse entendre la rumeur, les faits remontent à 2014. Par ailleurs, il ne s'agissait pas d'un traitement de faveur mais d'un vice de procédure.",http://www.lemonde.fr/les-decodeurs/article/2017/03/01/intox-en-serie-sur-des-pages-facebook-d-extreme-droite_5087453_4355770.html
5,Les médias ont-ils caché l'affaire des « frais de bouche » d'Emmanuel Macron ? ,FAUX,"Contrairement à ce que les rumeurs qui circulent en ligne affirment, ce sont au contraire des journalistes qui ont évoqué ces faits en premier dans un livre, information largement reprise dans la presse.",http://www.lemonde.fr/les-decodeurs/article/2017/03/01/intox-en-serie-sur-des-pages-facebook-d-extreme-droite_5087453_4355770.html
6,Najat Vallaud-Belkacem a-t-elle dit en 2006 : « Il faudrait que l’éducation nationale instaure dans ses programmes les principes coraniques » ?,FAUX,"Cette citation est fausse, Najat Vallaud-Belkacem n'a jamais tenu ces propos. ",http://www.lemonde.fr/les-decodeurs/article/2015/05/04/nouvelle-intox-visant-najat-vallaud-belkacem_4627179_4355770.html
7,"En Russie, l’ambassadeur américain a t-il participé à une manifestation en faveur d’un opposant à Vladimir Poutine ?",FAUX,L'affirmation se base sur un photomontage.,https://crosscheck.firstdraftnews.com/checked-french/en-russie-lambassadeur-americain-a-t-il-participe-a-une-manifestation-en-faveur-dun-opposant-a-vladimir-poutine/
8,Marine Le Pen a-t-elle tweeté sur le dessin animé Masha et Michka ?,FAUX,Il s'agit en réalité d'un faux tweet.,https://crosscheck.firstdraftnews.com/checked-french/marine-le-pen-a-t-elle-tweete-sur-le-dessin-anime-masha-et-michka/
9,François Fillon a-t-il annoncé le retrait de sa candidature le 1er mars 2017 ? ,FAUX,La fausse information est venue d'un faux compte Twitter.,https://crosscheck.firstdraftnews.com/checked-french/un-faux-compte-annonce-le-retrait-de-la-candidature-de-francois-fillon/
10,Edward Snowden a-t-il affirmé que des êtres vivants humanoïdes vivent secrètement sous le manteau de la Terre ? ,FAUX,Il s'agit d'une invention d'un site parodique américain.,http://www.lemonde.fr/les-decodeurs/article/2017/03/02/revelations-de-snowden-sur-des-humanoides-vivant-sous-terre-du-canular-a-la-fausse-info_5088163_4355770.html
11,La campagne d'Emmanuel Macron est-elle financée à plus de 30 % par l'Arabie Saoudite ?,FAUX,"La fausse affirmation se basait sur une citation imaginaire d'un membre du parti socialiste belge, diffusée sur un site trompeur, LeSoir.Info qui usurpait l'identité du site belge LeSoir.be.",http://www.lemonde.fr/les-decodeurs/article/2017/03/02/macron-finance-par-l-arabie-saoudite-une-intox-massivement-relayee-par-l-extreme-droite_5088356_4355770.html
12,Ce reportage de BFMTV à Villers-Cotterêts partagé sur Facebook est-il l’original ?,FAUX,Deux passages du reportage ont été supprimés pour qu'il soit plus flatteur pour le maire FN de Villers-Cotterêts.,https://crosscheck.firstdraftnews.com/checked-french/reportage-bfmtv-manipule/
13,Ce policier blessé par un pavé est-il français ?,FAUX,"Il ne s'agit pas d'une photo prise en France, mais lors d'une manifestation antigouvernementale en Thaïlande.",https://crosscheck.firstdraftnews.com/checked-french/ce-policier-blesse-par-un-pave-est-il-francais/
14,40 000 migrants dorment-ils toutes les nuits à l’hôtel ?,FAUX,"La statistique invoquée dit qu'il y a 37 950 places dans des hôtels qui étaient ouvertes aux personnes sans domicile fixe en 2015 en France, toutes origines confondues.",https://crosscheck.firstdraftnews.com/checked-french/40-000-migrants-dorment-ils-toutes-les-nuits-lhotel/
15,Cette vidéo montre-t-elle François Hollande hué au salon de l'Agriculture en 2017 ?,FAUX,"Les images datent en réalité de 2016 et avaient été, à l'époque, largement relayées par la presse.",http://www.lemonde.fr/les-decodeurs/article/2017/03/01/intox-en-serie-sur-des-pages-facebook-d-extreme-droite_5087453_4355770.html
16,77 000 logements HLM attribués aux migrants ?,FAUX,Il s'agit d'une déformation de ce qui n'était qu'une proposition consistant à attribuer «une partie» de ces 77 310 logements sociaux durablement vides en France.,http://www.lemonde.fr/les-decodeurs/article/2015/09/16/non-77-000-logements-sociaux-ne-vont-pas-etre-attribues-aux-refugies_4758934_4355770.html
17,71 % des médecins estiment-ils que « les problèmes de santé de Hillary Clinton sont sérieux » ?,FAUX,"Le sondage était orienté et peu fiable, n'étant pas basé sur le dossier médical de l'intéressée.",http://www.lemonde.fr/les-decodeurs/article/2016/09/09/les-invraisemblables-intox-sur-la-sante-de-hillary-clinton_4995400_4355770.html
18,La mort de Hillary Clinton imminente ?,FAUX,"Des rumeurs ont circulé sur la soi-disante mort prochaine de la candidate en 2015 et 2016, mais elles ont été démenties par les faits.",http://www.lemonde.fr/les-decodeurs/article/2016/09/09/les-invraisemblables-intox-sur-la-sante-de-hillary-clinton_4995400_4355770.html
19,"Hillary Clinton, atteinte d'épilepsie et de démence ?",FAUX,"Cet article cite un faux rapport attribué à tort à la médecin de Hillary Clinton, Lisa R. Bardack.",http://www.lemonde.fr/les-decodeurs/article/2016/09/09/les-invraisemblables-intox-sur-la-sante-de-hillary-clinton_4995400_4355770.html
20,Le pic de pollution en France de début décembre 2016 venait-il des centrales à charbon allemandes ?,FAUX,Les experts s'accordent à dire que cette épisode de pollution aux particules fines venait majoritairement des émissions locales.,http://www.lemonde.fr/les-decodeurs/article/2016/12/12/le-pic-de-pollution-n-est-pas-venu-des-centrales-a-charbon-allemandes_5047702_4355770.html
21,"Marine Le Pen a-t-elle dit : « Hitler a fait moins de dégâts en France que Hollande, dans le même laps de temps » ?",FAUX,Il s'agit d'une fausse information inventée par un site trompeur.,http://www.lemonde.fr/les-decodeurs/article/2016/11/28/la-fausse-citation-de-marine-le-pen-sur-francois-hollande-et-hitler_5039607_4355770.html
22,Un sapin de Noël massacré en France ou en Suède par des musulmans ? ,FAUX,"La vidéo, sortie de son contexte, a été tournée lors des fêtes de Noël 2015 au Caire.",http://www.lemonde.fr/les-decodeurs/article/2016/11/16/la-fausse-histoire-du-sapin-de-noel-massacre-par-des-musulmans_5032248_4355770.html
23,Y a-t-il 93 % de Français prêts à voter Marine Le Pen ?,FAUX,Il s'agit d'un sondage non représentatif réalisé auprès de lecteurs d'un site d'extrême droite.,http://www.lemonde.fr/les-decodeurs/article/2016/12/08/93-des-francais-prets-a-voter-marine-le-pen-itineraire-d-une-intox-d-extreme-droite_5045773_4355770.html
24,Des migrants « nourris et blanchis » avec 1 481 euros par mois en Gironde ?,FAUX,Il s'agit d'une fausse information véhiculée par des mouvements d'extrême droite locaux.,http://www.lemonde.fr/les-decodeurs/article/2016/10/20/l-intox-des-migrants-nourris-et-blanchis-avec-1-481-euros-par-mois-en-gironde_5017633_4355770.html
25,Un couple de clandestins peut-il gagner 3 000 euros par mois sans travailler ?,FAUX,"L'histoire, non sourcée, ne tient pas debout.",http://www.lemonde.fr/les-decodeurs/article/2016/10/10/l-intox-du-couple-de-clandestins-qui-toucherait-3-000-euros-d-aide-sociale_5011330_4355770.html
26,Va-t-il y avoir une taxe sur les jardins potagers ?,FAUX,Il s'agit d'une rumeur partie d'un site parodique.,http://www.lemonde.fr/les-decodeurs/article/2016/08/18/la-fausse-taxe-sur-les-jardins-potagers-est-partie-d-un-site-parodique_4984554_4355770.html
27,William Saurin finance-t-il l’islam avec son cassoulet 100 % volaille ?,FAUX,"Les produits mentionnés ne sont pas halal, et la taxe mentionnée est imaginaire.",http://www.lemonde.fr/les-decodeurs/article/2017/03/09/non-william-saurin-ne-finance-pas-l-islam-avec-son-cassoulet-100-volaille_5092244_4355770.html
28,Barack Obama est-il né au Kenya ?,FAUX,Le certificat diffusé par le demi-frère de l'ex-président est un faux.,http://www.lemonde.fr/les-decodeurs/article/2017/03/13/le-faux-certificat-de-naissance-de-barack-obama-au-kenya_5093764_4355770.html
29,Cette carte illustre-t-elle les heurts avec la police de ces dernières semaines ?,FAUX,"La carte, qui date de 2005, a été sortie de son contexte.",https://crosscheck.firstdraftnews.com/checked-french/carte-heurts-police/
30,"L’État va-t-il racheter des hôtels pour loger des migrants avec de l’argent européen ?
",FAUX,Le site La gauche m'a tuer a en réalité mélangé deux informations distinctes sous une présentation trompeuse.,https://crosscheck.firstdraftnews.com/checked-french/hotels-migrants-europe/
31,L’État français va-t-il instaurer des jours fériés pour les fêtes musulmanes et juives ?,FAUX,"Il ne s'agit que d'une proposition du think tank Terra Nova, non reprise par le gouvernement. Elle n'a donc rien d'une décision officielle, ni même d'un projet en cours du gouvernement.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_letat-francais-va-t-il-instaurer-des-jours-feries-pour-les-fetes-musulmanes-et-juives
32,"La chaîne C8 a-t-elle manipulé un reportage sur le Front national ?
",FAUX,L'accusation relayée par des cadres du FN étaient basée sur de fausses informations.,https://crosscheck.firstdraftnews.com/checked-french/la-chaine-c8-t-elle-manipule-un-reportage-sur-le-front-national/
33,Emmanuel Macron veut-il faire payer une nouvelle taxe aux propriétaires ?,FAUX,L'affirmation du site Cyceon ne se base sur aucune information. Le projet ne figure pas au programme du candidat et a été démenti par son équipe.,http://www.lemonde.fr/les-decodeurs/article/2017/03/17/non-emmanuel-macron-ne-veut-pas-faire-payer-un-loyer-aux-proprietaires_5096488_4355770.html
34,L'argent liquide va-t-il disparaître en 2018 ?,FAUX,Il s'agit d'une déformation d'un document de la Commission européenne.,http://www.lemonde.fr/les-decodeurs/article/2017/03/20/non-l-argent-liquide-ne-va-pas-disparaitre-en-2018_5097798_4355770.html
35,"Cette vidéo montre-t-elle un étranger frappant deux employées d’hôpital en France ?
",FAUX,Il s'agit d'une vidéo tournée en Russie.,https://crosscheck.firstdraftnews.com/checked-french/etranger-hopital-agression/
36,Cette photo de réfugiés a-t-elle été prise le 17 mars à la frontière franco-italienne ?,FAUX,"La photo partagée date en fait du 18 septembre 2015 et a été prise par un photographe de l’agence Reuters près d’Edirne, en Turquie.",https://crosscheck.firstdraftnews.com/checked-french/migrants-frontiere-italienne/
